id;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
30466;14169118;Gigi;San Lorenzo;4.085.716;1.425.914;Private room;$70,00;2;2;21/05/2023;0.42;8;262;2
30536;14169118;Gigi;San Lorenzo;4.085.602;1.425.781;Private room;$69,00;3;20;10/10/2022;0.12;8;86;1
36016;154638;Simona;San Lorenzo;4.085.107;1.425.835;Entire home/apt;$80,00;3;145;3/01/2019;0.91;2;27;0
63413;309483;Paola;Chiaia;4.083.216;1.422.642;Entire home/apt;$61,00;3;101;15/08/2023;0.84;1;325;17
74364;289412;Davide;San Giuseppe;4.084.967;1.425.297;Entire home/apt;$75,00;4;240;8/09/2023;1.61;8;214;30
76993;411650;Cebollitas;Vomero;4.084.568;1.422.618;Private room;$63,00;3;31;24/08/2023;0.29;4;271;12
77009;411650;Cebollitas;Vomero;4.084.568;1.422.618;Private room;$42,00;3;147;29/08/2023;0.99;4;282;29
77010;411650;Cebollitas;Vomero;4.084.568;1.422.618;Private room;$42,00;3;96;30/08/2023;0.87;4;284;15
137587;672635;Alessandro;San Lorenzo;4.085.355;1.425.904;Entire home/apt;$50,00;3;25;1/03/2020;0.39;1;0;0
157691;757341;Sabrina & Valentina;San Lorenzo;4.085.028;14.259;Entire home/apt;$60,00;2;251;6/09/2023;2.41;1;99;10
158928;762694;Melania;San Lorenzo;4.085.392;1.425.673;Entire home/apt;$90,00;1;9;1/11/2021;0.13;2;0;0
162072;699926;Carlo;Porto;4.084.766;1.425.626;Entire home/apt;$104,00;2;86;31/07/2023;0.59;1;339;11
163929;808350;Giancarlo;Porto;408.402;1.425.516;Entire home/apt;$135,00;1;82;5/05/2019;0.57;6;340;0
169588;808350;Giancarlo;San Giuseppe;408.429;1.425.113;Entire home/apt;$156,00;1;65;16/10/2019;0.45;6;210;0
176475;843983;Licia;Chiaia;4.083.567;1.423.545;Entire home/apt;$227,00;1;243;7/09/2023;1.79;1;300;12
191679;927410;Luigi;Chiaia;4.083.623;1.422.562;Entire home/apt;$80,00;2;309;20/08/2023;2.15;2;344;8
191818;928273;Federico;Chiaia;4.083.694;1.423.259;Private room;$33,00;1;471;24/08/2023;3.81;2;297;52
192478;932290;Peter;Pendino;4.084.813;1.425.834;Entire home/apt;$36,00;5;149;8/09/2023;1.05;1;251;14
198292;967685;Byron;Montecalvario;408.469;1.424.279;Private room;$70,00;1;13;29/04/2018;0.09;1;11;0
199327;973557;Antonio;San Ferdinando;4.083.566;142.463;Entire home/apt;$116,00;3;90;2/10/2022;0.65;6;97;1
209277;1031133;Elisabetta;San Giuseppe;4.084.587;1.425.115;Entire home/apt;$89,00;1;299;26/08/2023;2.09;4;296;14
209278;1031133;Elisabetta;San Giuseppe;4.084.586;1.425.112;Entire home/apt;$76,00;1;522;24/08/2023;3.6;4;299;24
210551;808350;Giancarlo;San Ferdinando;40.832;1.425.014;Entire home/apt;$80,00;1;4;24/04/2016;0.03;6;277;0
212791;14169118;Gigi;San Lorenzo;4.084.981;1.425.573;Private room;$90,00;3;1;9/05/2022;0.06;8;321;0
212824;14169118;Gigi;San Giuseppe;408.492;1.425.561;Private room;$80,00;2;8;18/09/2016;0.06;8;321;0
215400;1191263;Martina;San Giuseppe;4.084.712;1.425.103;Private room;$140,00;2;1;25/09/2022;0.08;4;318;1
216439;1117036;Giuseppe;San Ferdinando;4.083.879;1.424.456;Entire home/apt;$60,00;2;6;1/05/2023;0.05;2;282;2
228404;1191263;Martina;San Giuseppe;4.084.815;1.424.989;Entire home/apt;$260,00;2;72;3/09/2023;0.5;4;293;21
237997;14169118;Gigi;San Giuseppe;4.084.892;1.425.526;Private room;$83,00;3;1;22/08/2021;0.04;8;311;0
248199;71313946;Marisa;Avvocata;4.085.253;1.424.008;Private room;$65,00;3;9;23/08/2023;0.1;7;10;2
251610;71313946;Marisa;Avvocata;4.085.274;1.424.012;Private room;$79,00;3;6;24/08/2022;0.07;7;10;0
256461;1349033;Imma;Montecalvario;4.084.339;1.424.565;Private room;$93,00;3;1;4/06/2023;0.29;1;360;1
264932;1340676;Luca;Porto;4.083.953;1.425.576;Hotel room;$100,00;1;3;4/09/2022;0.03;11;32;0
276925;1446354;Margherita;Pendino;4.085.194;1.426.588;Shared room;$20,00;1;232;30/08/2023;1.69;7;51;39
282618;1472960;Celesta;San Carlo all'Arena;4.085.706;14.255;Entire home/apt;$90,00;2;256;4/08/2023;1.85;1;11;5
296874;14169118;Gigi;Stella;4.086.122;1.424.996;Private room;$80,00;2;0;;;8;309;0
301476;1556801;Marcella;Arenella;4.085.998;1.422.191;Entire home/apt;$80,00;1;89;7/09/2023;1.02;1;158;35
304001;1564850;Sergio;Pendino;4.085.084;1.425.984;Entire home/apt;$83,00;3;151;22/08/2023;1.09;2;329;23
310815;1587194;Marco;Pendino;4.085.127;1.425.854;Entire home/apt;$75,00;3;340;28/08/2023;2.45;3;352;32
